yearMonth,Purpose,Number_of_Visitors
2002-03-01,Business,39030
2002-03-01,Visiting friends/relatives,87700
2002-03-01,Holiday,213240
2002-03-01,Employment,9570
2002-03-01,Education,16450
2002-03-01,Others,70490
2002-04-01,Convention/conference,15730
2002-04-01,Business,40130
2002-04-01,Visiting friends/relatives,63200
2002-04-01,Holiday,178310
2002-04-01,Employment,8500
2002-04-01,Education,13170
2002-04-01,Others,41270
2002-05-01,Convention/conference,15250
2002-05-01,Business,39060
2002-05-01,Visiting friends/relatives,45680
2002-05-01,Holiday,159200
2002-05-01,Employment,6530
2002-05-01,Education,9190
2002-05-01,Others,55030
2002-06-01,Convention/conference,7270
2002-06-01,Business,33390
2002-06-01,Visiting friends/relatives,56630
2002-06-01,Holiday,161860
2002-06-01,Employment,5650
2002-06-01,Education,14150
2002-06-01,Others,60440
2002-07-01,Convention/conference,13950
2002-07-01,Business,36490
2002-07-01,Visiting friends/relatives,61160
2002-07-01,Holiday,183520
2002-07-01,Employment,5650
2002-07-01,Education,44900
2002-07-01,Others,72490
2002-08-01,Convention/conference,9160
2002-08-01,Business,34330
2002-08-01,Visiting friends/relatives,50840
2002-08-01,Holiday,189080
2002-08-01,Employment,6410
2002-08-01,Education,13720
2002-08-01,Others,68400
2002-09-01,Convention/conference,13850
2002-09-01,Business,35910
2002-09-01,Visiting friends/relatives,57640
2002-09-01,Holiday,166980
2002-09-01,Employment,6590
2002-09-01,Education,11080
2002-09-01,Others,66530
2002-10-01,Convention/conference,14190
2002-10-01,Business,42190
2002-10-01,Visiting friends/relatives,72890
2002-10-01,Holiday,230040
2002-10-01,Employment,6140
2002-10-01,Education,14830
2002-10-01,Others,48580
2002-11-01,Convention/conference,11970
2002-11-01,Business,44770
2002-11-01,Visiting friends/relatives,76870
2002-11-01,Holiday,243060
2002-11-01,Employment,6140
2002-11-01,Education,8490
2002-11-01,Others,45730
2002-12-01,Convention/conference,5000
2002-12-01,Business,29050
2002-12-01,Visiting friends/relatives,141610
2002-12-01,Holiday,297200
2002-12-01,Employment,4430
2002-12-01,Education,6880
2002-12-01,Others,49810
2003-01-01,Convention/conference,5540
2003-01-01,Business,32370
2003-01-01,Visiting friends/relatives,69290
2003-01-01,Holiday,204170
2003-01-01,Employment,7380
2003-01-01,Education,30040
2003-01-01,Others,47860
2003-02-01,Convention/conference,9450
2003-02-01,Business,40690
2003-02-01,Visiting friends/relatives,69560
2003-02-01,Holiday,213090
2003-02-01,Employment,5860
2003-02-01,Education,45450
2003-02-01,Others,43390
2003-03-01,Convention/conference,11070
2003-03-01,Business,40700
