yearMonth,Purpose,Number_of_Visitors
2010-12-01,Business,37860
2010-12-01,Visiting friends/relatives,239650
2010-12-01,Holiday,340670
2010-12-01,Employment,17280
2010-12-01,Education,14260
2010-12-01,Others,19810
2011-01-01,Convention/conference,7530
2011-01-01,Business,50490
2011-01-01,Visiting friends/relatives,109140
2011-01-01,Holiday,219150
2011-01-01,Employment,20440
2011-01-01,Education,42520
2011-01-01,Others,24520
2011-02-01,Convention/conference,14030
2011-02-01,Business,59250
2011-02-01,Visiting friends/relatives,118570
2011-02-01,Holiday,242410
2011-02-01,Employment,20020
2011-02-01,Education,85710
2011-02-01,Others,25170
2011-03-01,Convention/conference,17490
2011-03-01,Business,62370
2011-03-01,Visiting friends/relatives,131880
2011-03-01,Holiday,215990
2011-03-01,Employment,17000
2011-03-01,Education,29290
2011-03-01,Others,26080
2011-04-01,Convention/conference,12090
2011-04-01,Business,44810
2011-04-01,Visiting friends/relatives,144690
2011-04-01,Holiday,206150
2011-04-01,Employment,16290
2011-04-01,Education,16610
2011-04-01,Others,19690
2011-05-01,Convention/conference,15130
2011-05-01,Business,60880
2011-05-01,Visiting friends/relatives,96080
2011-05-01,Holiday,158730
2011-05-01,Employment,15650
2011-05-01,Education,18470
2011-05-01,Others,19570
2011-06-01,Convention/conference,13070
2011-06-01,Business,49610
2011-06-01,Visiting friends/relatives,99340
2011-06-01,Holiday,170030
2011-06-01,Employment,16130
2011-06-01,Education,18160
2011-06-01,Others,21340
2011-07-01,Convention/conference,19310
2011-07-01,Business,54510
2011-07-01,Visiting friends/relatives,116210
2011-07-01,Holiday,206730
2011-07-01,Employment,17200
2011-07-01,Education,67120
2011-07-01,Others,24560
2011-08-01,Convention/conference,16780
2011-08-01,Business,53480
2011-08-01,Visiting friends/relatives,110030
2011-08-01,Holiday,224630
2011-08-01,Employment,17590
2011-08-01,Education,23350
2011-08-01,Others,21150
2011-09-01,Convention/conference,18370
2011-09-01,Business,52050
2011-09-01,Visiting friends/relatives,113920
2011-09-01,Holiday,185260
2011-09-01,Employment,18900
2011-09-01,Education,18440
2011-09-01,Others,24100
2011-10-01,Convention/conference,22330
2011-10-01,Business,58060
2011-10-01,Visiting friends/relatives,121810
2011-10-01,Holiday,230520
2011-10-01,Employment,20820
2011-10-01,Education,20180
2011-10-01,Others,25810
2011-11-01,Convention/conference,22050
2011-11-01,Business,69710
2011-11-01,Visiting friends/relatives,133970
2011-11-01,Holiday,239130
2011-11-01,Employment,18710
2011-11-01,Education,15590
2011-11-01,Others,23600
2011-12-01,Convention/conference,7940
2011-12-01,Business,35240
2011-12-01,Visiting friends/relatives,245100
2011-12-01,Holiday,333680
2011-12-01,Employment,18060
2011-12-01,Education,15030
2011-12-01,Others,19750
2012-01-01,Convention/conference,9290
2012-01-01,Business,42530
2012-01-01,Visiting friends/relatives,117810
2012-01-01,Holiday,243620
2012-01-01,Employment,24990
2012-01-01,Education,40730
2012-01-01,Others,23030
2012-02-01,Convention/conference,16420
2012-02-01,Business,63410
2012-02-01,Visiting friends/relatives,128620
2012-02-01,Holiday,228390
2012-02-01,Employment,19950
2012-02-01,Education,85710
2012-02-01,Others,23250
2012-03-01,Convention/conference,16790
2012-03-01,Business,58770
2012-03-01,Visiting friends/relatives,151910
2012-03-01,Holiday,246410
2012-03-01,Employment,19980
2012-03-01,Education,27950
2012-03-01,Others,22020
2012-04-01,Convention/conference,13220
2012-04-01,Business,50080
2012-04-01,Visiting friends/relatives,130030
2012-04-01,Holiday,207190
2012-04-01,Employment,20390
2012-04-01,Education,19930
2012-04-01,Others,24250
2012-05-01,Convention/conference,20320
2012-05-01,Business,60830
2012-05-01,Visiting friends/relatives,100540
2012-05-01,Holiday,161020
2012-05-01,Employment,17670
2012-05-01,Education,13310
2012-05-01,Others,19740
2012-06-01,Convention/conference,14440
2012-06-01,Business,48800
2012-06-01,Visiting friends/relatives,112650
2012-06-01,Holiday,186580
2012-06-01,Employment,18320
2012-06-01,Education,19240
2012-06-01,Others,20480
2012-07-01,Convention/conference,19010
2012-07-01,Business,51900
2012-07-01,Visiting friends/relatives,113560
2012-07-01,Holiday,202350
2012-07-01,Employment,19040
2012-07-01,Education,68520
2012-07-01,Others,25470
2012-08-01,Convention/conference,20980
2012-08-01,Business,52650
2012-08-01,Visiting friends/relatives,119750
2012-08-01,Holiday,237590
2012-08-01,Employment,22600
2012-08-01,Education,25030
2012-08-01,Others,20140
2012-09-01,Convention/conference,23530
2012-09-01,Business,55630
2012-09-01,Visiting friends/relatives,127590
2012-09-01,Holiday,204890
2012-09-01,Employment,18840
2012-09-01,Education,19970
2012-09-01,Others,25020
2012-10-01,Convention/conference,21610
2012-10-01,Business,63030
2012-10-01,Visiting friends/relatives,130210
2012-10-01,Holiday,241750
2012-10-01,Employment,19310
2012-10-01,Education,18760
2012-10-01,Others,26340
2012-11-01,Convention/conference,19770
2012-11-01,Business,62620
2012-11-01,Visiting friends/relatives,148650
2012-11-01,Holiday,269550
2012-11-01,Employment,17240
2012-11-01,Education,15990
2012-11-01,Others,26280
2012-12-01,Convention/conference,11190
2012-12-01,Business,38680
2012-12-01,Visiting friends/relatives,264130
2012-12-01,Holiday,353740
2012-12-01,Employment,17640
2012-12-01,Education,15760
2012-12-01,Others,20180
2013-01-01,Convention/conference,7700
2013-01-01,Business,43210
2013-01-01,Visiting friends/relatives,116080
2013-01-01,Holiday,223070
2013-01-01,Employment,27260
2013-01-01,Education,42550
2013-01-01,Others,28810
2013-02-01,Convention/conference,14240
2013-02-01,Business,58660
2013-02-01,Visiting friends/relatives,136420
2013-02-01,Holiday,288370
2013-02-01,Employment,19860
2013-02-01,Education,74540
2013-02-01,Others,24890
2013-03-01,Convention/conference,13140
2013-03-01,Business,57370
2013-03-01,Visiting friends/relatives,172020
2013-03-01,Holiday,267140
2013-03-01,Employment,21360
2013-03-01,Education,33520
2013-03-01,Others,24310
2013-04-01,Convention/conference,15630
2013-04-01,Business,56390
2013-04-01,Visiting friends/relatives,123830
2013-04-01,Holiday,203150
2013-04-01,Employment,19150
2013-04-01,Education,21560
2013-04-01,Others,21820
2013-05-01,Convention/conference,18670
2013-05-01,Business,56760
2013-05-01,Visiting friends/relatives,107620
2013-05-01,Holiday,177900
2013-05-01,Employment,15060
2013-05-01,Education,15020
2013-05-01,Others,22300
2013-06-01,Convention/conference,16330
2013-06-01,Business,49460
2013-06-01,Visiting friends/relatives,117940
2013-06-01,Holiday,206920
2013-06-01,Employment,16660
2013-06-01,Education,19960
2013-06-01,Others,20250
2013-07-01,Convention/conference,15850
2013-07-01,Business,55270
2013-07-01,Visiting friends/relatives,126650
2013-07-01,Holiday,222430
2013-07-01,Employment,16390
2013-07-01,Education,68010
2013-07-01,Others,26310
2013-08-01,Convention/conference,19130
2013-08-01,Business,49780
2013-08-01,Visiting friends/relatives,129380
2013-08-01,Holiday,265820
2013-08-01,Employment,17120
2013-08-01,Education,27090
2013-08-01,Others,21040
2013-09-01,Convention/conference,17640
2013-09-01,Business,52860
2013-09-01,Visiting friends/relatives,141780
2013-09-01,Holiday,221670
2013-09-01,Employment,18360
2013-09-01,Education,17760
2013-09-01,Others,23820
2013-10-01,Convention/conference,21140
2013-10-01,Business,56660
2013-10-01,Visiting friends/relatives,149660
2013-10-01,Holiday,249090
2013-10-01,Employment,19750
2013-10-01,Education,21920
2013-10-01,Others,24530
2013-11-01,Convention/conference,19140
2013-11-01,Business,62880
2013-11-01,Visiting friends/relatives,162670
2013-11-01,Holiday,273440
2013-11-01,Employment,17800
2013-11-01,Education,16770
2013-11-01,Others,25420
2013-12-01,Convention/conference,14680
2013-12-01,Business,39600
2013-12-01,Visiting friends/relatives,298440
2013-12-01,Holiday,385710
2013-12-01,Employment,17320
2013-12-01,Education,14040
2013-12-01,Others,19960
2014-01-01,Convention/conference,7780
2014-01-01,Business,41160
2014-01-01,Visiting friends/relatives,149480
2014-01-01,Holiday,273520
2014-01-01,Employment,27930
2014-01-01,Education,37670
2014-01-01,Others,24960
2014-02-01,Convention/conference,13110
2014-02-01,Business,57830
2014-02-01,Visiting friends/relatives,155520
2014-02-01,Holiday,288180
2014-02-01,Employment,20630
2014-02-01,Education,75410
2014-02-01,Others,26950
2014-03-01,Convention/conference,17610
2014-03-01,Business,62320
2014-03-01,Visiting friends/relatives,166600
2014-03-01,Holiday,280510
2014-03-01,Employment,18370
2014-03-01,Education,31760
2014-03-01,Others,23650
2014-04-01,Convention/conference,12760
2014-04-01,Business,45660
2014-04-01,Visiting friends/relatives,168280
2014-04-01,Holiday,244620
2014-04-01,Employment,16800
2014-04-01,Education,19770
2014-04-01,Others,20670
2014-05-01,Convention/conference,27630
2014-05-01,Business,57110
2014-05-01,Visiting friends/relatives,126950
2014-05-01,Holiday,208560
2014-05-01,Employment,14930
2014-05-01,Education,15660
2014-05-01,Others,22050
2014-06-01,Convention/conference,16560
2014-06-01,Business,51000
2014-06-01,Visiting friends/relatives,129060
2014-06-01,Holiday,207810
2014-06-01,Employment,14970
2014-06-01,Education,19060
2014-06-01,Others,19420
2014-07-01,Convention/conference,24700
2014-07-01,Business,47980
2014-07-01,Visiting friends/relatives,139090
2014-07-01,Holiday,271210
2014-07-01,Employment,16540
2014-07-01,Education,67650
2014-07-01,Others,22480
2014-08-01,Convention/conference,21020
2014-08-01,Business,53840
2014-08-01,Visiting friends/relatives,131920
2014-08-01,Holiday,263450
2014-08-01,Employment,17060
2014-08-01,Education,30070
2014-08-01,Others,23540
2014-09-01,Convention/conference,22520
2014-09-01,Business,50790
2014-09-01,Visiting friends/relatives,144780
2014-09-01,Holiday,243580
2014-09-01,Employment,19010
2014-09-01,Education,18230
2014-09-01,Others,22830
2014-10-01,Convention/conference,22750
2014-10-01,Business,59430
2014-10-01,Visiting friends/relatives,151570
2014-10-01,Holiday,265780
2014-10-01,Employment,29010
2014-10-01,Education,26270
2014-10-01,Others,31850
2014-11-01,Convention/conference,29430
2014-11-01,Business,63480
2014-11-01,Visiting friends/relatives,166530
2014-11-01,Holiday,275790
2014-11-01,Employment,26070
2014-11-01,Education,20380
2014-11-01,Others,29550
2014-12-01,Convention/conference,9840
2014-12-01,Business,35350
2014-12-01,Visiting friends/relatives,309900
2014-12-01,Holiday,378920
2014-12-01,Employment,33500
2014-12-01,Education,18100
2014-12-01,Others,26230
2015-01-01,Convention/conference,10930
2015-01-01,Business,41600
2015-01-01,Visiting friends/relatives,156120
2015-01-01,Holiday,228910
2015-01-01,Employment,32370
2015-01-01,Education,47760
2015-01-01,Others,29740
2015-02-01,Convention/conference,14450
2015-02-01,Business,54030
2015-02-01,Visiting friends/relatives,182970
2015-02-01,Holiday,342810
2015-02-01,Employment,31270
2015-02-01,Education,73800
2015-02-01,Others,26720
2015-03-01,Convention/conference,16540
2015-03-01,Business,59860
2015-03-01,Visiting friends/relatives,197270
2015-03-01,Holiday,308350
2015-03-01,Employment,24110
2015-03-01,Education,42940
2015-03-01,Others,30210
2015-04-01,Convention/conference,17560
2015-04-01,Business,49390
2015-04-01,Visiting friends/relatives,159190
2015-04-01,Holiday,247460
2015-04-01,Employment,26120
2015-04-01,Education,26290
2015-04-01,Others,24150
2015-05-01,Convention/conference,18300
2015-05-01,Business,55750
2015-05-01,Visiting friends/relatives,129040
2015-05-01,Holiday,214910
2015-05-01,Employment,25370
2015-05-01,Education,18910
2015-05-01,Others,23380
2015-06-01,Convention/conference,16130
2015-06-01,Business,48210
2015-06-01,Visiting friends/relatives,135800
2015-06-01,Holiday,213990
2015-06-01,Employment,25130
2015-06-01,Education,25460
2015-06-01,Others,23430
2015-07-01,Convention/conference,15380
2015-07-01,Business,46810
2015-07-01,Visiting friends/relatives,152820
2015-07-01,Holiday,271370
2015-07-01,Employment,28250
2015-07-01,Education,84530
2015-07-01,Others,29110
2015-08-01,Convention/conference,17850
2015-08-01,Business,49440
2015-08-01,Visiting friends/relatives,153840
2015-08-01,Holiday,269060
2015-08-01,Employment,26710
2015-08-01,Education,34850
2015-08-01,Others,22390
2015-09-01,Convention/conference,20130
2015-09-01,Business,48450
2015-09-01,Visiting friends/relatives,172830
2015-09-01,Holiday,265520
2015-09-01,Employment,21990
2015-09-01,Education,20420
2015-09-01,Others,22650
2015-10-01,Convention/conference,23390
2015-10-01,Business,53900
2015-10-01,Visiting friends/relatives,157870
2015-10-01,Holiday,314870
2015-10-01,Employment,21260
2015-10-01,Education,27720
2015-10-01,Others,26790
2015-11-01,Convention/conference,23080
2015-11-01,Business,62730
2015-11-01,Visiting friends/relatives,162210
2015-11-01,Holiday,342780
2015-11-01,Employment,27090
2015-11-01,Education,29880
2015-11-01,Others,23770
2015-12-01,Convention/conference,7490
2015-12-01,Business,31830
2015-12-01,Visiting friends/relatives,309180
2015-12-01,Holiday,476820
2015-12-01,Employment,27430
2015-12-01,Education,26960
2015-12-01,Others,21600
2016-01-01,Convention/conference,9380
2016-01-01,Business,39190
2016-01-01,Visiting friends/relatives,141100
2016-01-01,Holiday,318620
2016-01-01,Employment,26490
2016-01-01,Education,52540
2016-01-01,Others,30360
2016-02-01,Convention/conference,16920
2016-02-01,Business,57490
2016-02-01,Visiting friends/relatives,166240
2016-02-01,Holiday,411650
2016-02-01,Employment,23670
2016-02-01,Education,94110
2016-02-01,Others,28540
2016-03-01,Convention/conference,16210
2016-03-01,Business,56020
2016-03-01,Visiting friends/relatives,203430
2016-03-01,Holiday,397040
2016-03-01,Employment,23260
2016-03-01,Education,36620
2016-03-01,Others,24760
2016-04-01,Convention/conference,19490
2016-04-01,Business,52050
2016-04-01,Visiting friends/relatives,153910
2016-04-01,Holiday,310130
2016-04-01,Employment,18450
2016-04-01,Education,27080
2016-04-01,Others,29370
2016-05-01,Convention/conference,17020
2016-05-01,Business,56800
2016-05-01,Visiting friends/relatives,126370
2016-05-01,Holiday,273960
2016-05-01,Employment,18240
2016-05-01,Education,19350
2016-05-01,Others,29540
2016-06-01,Convention/conference,13890
2016-06-01,Business,47980
2016-06-01,Visiting friends/relatives,147610
2016-06-01,Holiday,277630
2016-06-01,Employment,20010
2016-06-01,Education,24990
2016-06-01,Others,22960
2016-07-01,Convention/conference,18530
2016-07-01,Business,49320
2016-07-01,Visiting friends/relatives,152870
2016-07-01,Holiday,344480
2016-07-01,Employment,23400
2016-07-01,Education,97020
2016-07-01,Others,30160
2016-08-01,Convention/conference,16840
2016-08-01,Business,51810
2016-08-01,Visiting friends/relatives,144560
2016-08-01,Holiday,340540
2016-08-01,Employment,19600
2016-08-01,Education,31590
2016-08-01,Others,27190
2016-09-01,Convention/conference,22680
2016-09-01,Business,48700
2016-09-01,Visiting friends/relatives,168600
2016-09-01,Holiday,329200
2016-09-01,Employment,23770
2016-09-01,Education,26920
2016-09-01,Others,27170
2016-10-01,Convention/conference,21890
2016-10-01,Business,56420
2016-10-01,Visiting friends/relatives,161380
2016-10-01,Holiday,345940
2016-10-01,Employment,31860
2016-10-01,Education,41090
2016-10-01,Others,37350
2016-11-01,Convention/conference,21860
2016-11-01,Business,64000
2016-11-01,Visiting friends/relatives,178660
2016-11-01,Holiday,384920
2016-11-01,Employment,22330
2016-11-01,Education,23220
2016-11-01,Others,26840
2016-12-01,Convention/conference,11030
2016-12-01,Business,32230
2016-12-01,Visiting friends/relatives,335630
2016-12-01,Holiday,515890
2016-12-01,Employment,28100
2016-12-01,Education,27030
2016-12-01,Others,26230
2017-01-01,Convention/conference,16160
2017-01-01,Business,40370
2017-01-01,Visiting friends/relatives,155430
2017-01-01,Holiday,392440
2017-01-01,Employment,35110
2017-01-01,Education,58920
2017-01-01,Others,25570
2017-02-01,Convention/conference,18090
2017-02-01,Business,59250
2017-02-01,Visiting friends/relatives,173020
2017-02-01,Holiday,358810
2017-02-01,Employment,31630
2017-02-01,Education,120330
2017-02-01,Others,26440
2017-03-01,Convention/conference,19510
2017-03-01,Business,62390
2017-03-01,Visiting friends/relatives,197560
2017-03-01,Holiday,404940
2017-03-01,Employment,21010
2017-03-01,Education,41180
2017-03-01,Others,25640
2017-04-01,Convention/conference,16980
2017-04-01,Business,45810
2017-04-01,Visiting friends/relatives,189970
2017-04-01,Holiday,366370
2017-04-01,Employment,22200
2017-04-01,Education,34890
2017-04-01,Others,23790
2017-05-01,Convention/conference,20520
2017-05-01,Business,57500
2017-05-01,Visiting friends/relatives,142390
2017-05-01,Holiday,297530
2017-05-01,Employment,18350
2017-05-01,Education,21630
2017-05-01,Others,21170
2017-06-01,Convention/conference,17680
2017-06-01,Business,50640
2017-06-01,Visiting friends/relatives,163990
2017-06-01,Holiday,300790
2017-06-01,Employment,22900
2017-06-01,Education,28790
2017-06-01,Others,21230
2017-07-01,Convention/conference,25890
2017-07-01,Business,55120
2017-07-01,Visiting friends/relatives,180340
2017-07-01,Holiday,332950
2017-07-01,Employment,16780
2017-07-01,Education,107400
2017-07-01,Others,27920
2017-08-01,Convention/conference,28310
2017-08-01,Business,56940
2017-08-01,Visiting friends/relatives,182190
2017-08-01,Holiday,359360
2017-08-01,Employment,17610
2017-08-01,Education,35080
2017-08-01,Others,23410
2017-09-01,Convention/conference,28350
2017-09-01,Business,55240
2017-09-01,Visiting friends/relatives,198240
2017-09-01,Holiday,309320
2017-09-01,Employment,19880
2017-09-01,Education,27660
2017-09-01,Others,24890
2017-10-01,Convention/conference,31730
2017-10-01,Business,67220
2017-10-01,Visiting friends/relatives,204680
2017-10-01,Holiday,356260
2017-10-01,Employment,19550
2017-10-01,Education,36520
2017-10-01,Others,25390
2017-11-01,Convention/conference,29200
2017-11-01,Business,71630
2017-11-01,Visiting friends/relatives,230170
2017-11-01,Holiday,380920
2017-11-01,Employment,17190
2017-11-01,Education,23840
2017-11-01,Others,24140
2017-12-01,Convention/conference,14600
2017-12-01,Business,37750
2017-12-01,Visiting friends/relatives,418420
2017-12-01,Holiday,487950
2017-12-01,Employment,14410
2017-12-01,Education,23820
2017-12-01,Others,18090
2018-01-01,Convention/conference,13310
2018-01-01,Business,47260
2018-01-01,Visiting friends/relatives,199220
2018-01-01,Holiday,323630
2018-01-01,Employment,25330
2018-01-01,Education,68400
2018-01-01,Others,25420
2018-02-01,Convention/conference,19980
2018-02-01,Business,63320
2018-02-01,Visiting friends/relatives,227550
2018-02-01,Holiday,449380
2018-02-01,Employment,17550
2018-02-01,Education,111350
2018-02-01,Others,25400
2018-03-01,Convention/conference,24040
2018-03-01,Business,65370
2018-03-01,Visiting friends/relatives,277620
2018-03-01,Holiday,408660
2018-03-01,Employment,17980
2018-03-01,Education,49290
2018-03-01,Others,29400
2018-04-01,Convention/conference,23070
2018-04-01,Business,58330
2018-04-01,Visiting friends/relatives,206060
2018-04-01,Holiday,309640
2018-04-01,Employment,17270
2018-04-01,Education,38890
2018-04-01,Others,26520
2018-05-01,Convention/conference,32240
2018-05-01,Business,61860
2018-05-01,Visiting friends/relatives,184850
2018-05-01,Holiday,270190
2018-05-01,Employment,15580
2018-05-01,Education,23610
2018-05-01,Others,21120
2018-06-01,Convention/conference,21630
2018-06-01,Business,51100
2018-06-01,Visiting friends/relatives,205960
2018-06-01,Holiday,301160
2018-06-01,Employment,15270
2018-06-01,Education,31790
2018-06-01,Others,19740
2018-07-01,Convention/conference,28520
2018-07-01,Business,56980
2018-07-01,Visiting friends/relatives,199130
2018-07-01,Holiday,330840
2018-07-01,Employment,14260
2018-07-01,Education,118840
2018-07-01,Others,25800
2018-08-01,Convention/conference,25450
2018-08-01,Business,58590
2018-08-01,Visiting friends/relatives,204640
2018-08-01,Holiday,376230
2018-08-01,Employment,15790
2018-08-01,Education,38520
2018-08-01,Others,22490
2018-09-01,Convention/conference,31780
2018-09-01,Business,59790
2018-09-01,Visiting friends/relatives,203970
2018-09-01,Holiday,318330
2018-09-01,Employment,19060
2018-09-01,Education,31580
2018-09-01,Others,25690
2018-10-01,Convention/conference,35350
2018-10-01,Business,64580
2018-10-01,Visiting friends/relatives,219580
2018-10-01,Holiday,351170
2018-10-01,Employment,18460
2018-10-01,Education,36100
2018-10-01,Others,28720
2018-11-01,Convention/conference,33200
2018-11-01,Business,66360
2018-11-01,Visiting friends/relatives,236530
2018-11-01,Holiday,390830
2018-11-01,Employment,17430
2018-11-01,Education,26370
2018-11-01,Others,31440
2018-12-01,Convention/conference,14990
2018-12-01,Business,38880
2018-12-01,Visiting friends/relatives,425550
2018-12-01,Holiday,509280
2018-12-01,Employment,14860
2018-12-01,Education,25810
2018-12-01,Others,28530
2019-01-01,Convention/conference,13520
2019-01-01,Business,47770
2019-01-01,Visiting friends/relatives,197380
2019-01-01,Holiday,353090
2019-01-01,Employment,26580
2019-01-01,Education,65240
2019-01-01,Others,27560
2019-02-01,Convention/conference,22530
2019-02-01,Business,62460
2019-02-01,Visiting friends/relatives,232090
2019-02-01,Holiday,441800
2019-02-01,Employment,20300
2019-02-01,Education,121260
2019-02-01,Others,26790
2019-03-01,Convention/conference,29750
2019-03-01,Business,69040
2019-03-01,Visiting friends/relatives,239850
2019-03-01,Holiday,400350
2019-03-01,Employment,17360
2019-03-01,Education,52260
2019-03-01,Others,27750
2019-04-01,Convention/conference,21570
2019-04-01,Business,48090
2019-04-01,Visiting friends/relatives,236910
2019-04-01,Holiday,323290
2019-04-01,Employment,14970
2019-04-01,Education,32900
2019-04-01,Others,22640
2019-05-01,Convention/conference,30390
2019-05-01,Business,58440
2019-05-01,Visiting friends/relatives,197500
2019-05-01,Holiday,314820
2019-05-01,Employment,17140
2019-05-01,Education,28090
2019-05-01,Others,21890
2019-06-01,Convention/conference,23860
2019-06-01,Business,53300
2019-06-01,Visiting friends/relatives,199820
2019-06-01,Holiday,311440
2019-06-01,Employment,15910
2019-06-01,Education,35040
2019-06-01,Others,20960
2019-07-01,Convention/conference,29110
2019-07-01,Business,56030
2019-07-01,Visiting friends/relatives,208710
2019-07-01,Holiday,347490
2019-07-01,Employment,14520
2019-07-01,Education,108020
2019-07-01,Others,26500
2019-08-01,Convention/conference,33330
2019-08-01,Business,54620
2019-08-01,Visiting friends/relatives,210020
2019-08-01,Holiday,401070
2019-08-01,Employment,16360
2019-08-01,Education,48400
2019-08-01,Others,25400
2019-09-01,Convention/conference,32570
2019-09-01,Business,58220
2019-09-01,Visiting friends/relatives,212680
2019-09-01,Holiday,311880
2019-09-01,Employment,19280
2019-09-01,Education,34860
2019-09-01,Others,25470
2019-10-01,Convention/conference,35230
2019-10-01,Business,62290
2019-10-01,Visiting friends/relatives,224700
2019-10-01,Holiday,361630
2019-10-01,Employment,19610
2019-10-01,Education,40030
2019-10-01,Others,30530
2019-11-01,Convention/conference,40100
2019-11-01,Business,67070
2019-11-01,Visiting friends/relatives,242730
2019-11-01,Holiday,393980
2019-11-01,Employment,18840
2019-11-01,Education,27160
2019-11-01,Others,26020
2019-12-01,Convention/conference,17700
2019-12-01,Business,38460
2019-12-01,Visiting friends/relatives,443530
2019-12-01,Holiday,514880
2019-12-01,Employment,14780
2019-12-01,Education,27160
2019-12-01,Others,21210
2020-01-01,Convention/conference,11690
2020-01-01,Business,40320
2020-01-01,Visiting friends/relatives,210820
2020-01-01,Holiday,377820
2020-01-01,Employment,29800
2020-01-01,Education,66180
2020-01-01,Others,29950
2020-02-01,Convention/conference,19260
2020-02-01,Business,53460
2020-02-01,Visiting friends/relatives,209610
2020-02-01,Holiday,285580
2020-02-01,Employment,20320
2020-02-01,Education,72520
2020-02-01,Others,24660
2020-03-01,Convention/conference,6950
2020-03-01,Business,21920
2020-03-01,Visiting friends/relatives,112410
2020-03-01,Holiday,124450
2020-03-01,Employment,10980
2020-03-01,Education,40680
2020-03-01,Others,14490
2020-04-01,Convention/conference,0
2020-04-01,Business,150
2020-04-01,Visiting friends/relatives,810
2020-04-01,Holiday,150
2020-04-01,Employment,160
2020-04-01,Education,30
2020-04-01,Others,950
2020-05-01,Convention/conference,10
2020-05-01,Business,300
2020-05-01,Visiting friends/relatives,1260
2020-05-01,Holiday,120
2020-05-01,Employment,280
2020-05-01,Education,60
2020-05-01,Others,1410
2020-06-01,Convention/conference,20
2020-06-01,Business,530
2020-06-01,Visiting friends/relatives,1980
2020-06-01,Holiday,130
2020-06-01,Employment,570
2020-06-01,Education,90
2020-06-01,Others,2080
2020-07-01,Convention/conference,10
2020-07-01,Business,420
2020-07-01,Visiting friends/relatives,1430
2020-07-01,Holiday,120
2020-07-01,Employment,450
2020-07-01,Education,100
2020-07-01,Others,1000
2020-08-01,Convention/conference,10
2020-08-01,Business,410
2020-08-01,Visiting friends/relatives,1110
2020-08-01,Holiday,50
2020-08-01,Employment,480
2020-08-01,Education,70
2020-08-01,Others,910
2020-09-01,Convention/conference,10
2020-09-01,Business,530
2020-09-01,Visiting friends/relatives,1360
2020-09-01,Holiday,70
2020-09-01,Employment,790
2020-09-01,Education,100
2020-09-01,Others,860
2020-10-01,Convention/conference,30
2020-10-01,Business,910
2020-10-01,Visiting friends/relatives,2420
2020-10-01,Holiday,140
2020-10-01,Employment,1160
2020-10-01,Education,140
2020-10-01,Others,1280
2020-11-01,Convention/conference,20
2020-11-01,Business,840
2020-11-01,Visiting friends/relatives,3950
2020-11-01,Holiday,290
2020-11-01,Employment,1120
2020-11-01,Education,90
2020-11-01,Others,1240
2020-12-01,Convention/conference,40
2020-12-01,Business,580
2020-12-01,Visiting friends/relatives,5350
2020-12-01,Holiday,420
2020-12-01,Employment,1110
2020-12-01,Education,200
2020-12-01,Others,1120
2021-01-01,Convention/conference,40
2021-01-01,Business,1330
2021-01-01,Visiting friends/relatives,2810
2021-01-01,Holiday,230
2021-01-01,Employment,1450
2021-01-01,Education,450
2021-01-01,Others,1680
2021-02-01,Convention/conference,20
2021-02-01,Business,910
2021-02-01,Visiting friends/relatives,2450
2021-02-01,Holiday,180
2021-02-01,Employment,1140
2021-02-01,Education,440
2021-02-01,Others,1110
2021-03-01,Convention/conference,50
2021-03-01,Business,1100
2021-03-01,Visiting friends/relatives,3610
2021-03-01,Holiday,270
2021-03-01,Employment,1800
2021-03-01,Education,220
2021-03-01,Others,1260
2021-04-01,Convention/conference,110
2021-04-01,Business,2230
2021-04-01,Visiting friends/relatives,14520
2021-04-01,Holiday,1970
2021-04-01,Employment,2040
2021-04-01,Education,210
2021-04-01,Others,1530
2021-05-01,Convention/conference,560
2021-05-01,Business,5070
2021-05-01,Visiting friends/relatives,21520
2021-05-01,Holiday,4070
2021-05-01,Employment,2650
2021-05-01,Education,340
2021-05-01,Others,1980
2021-06-01,Convention/conference,400
2021-06-01,Business,3900
2021-06-01,Visiting friends/relatives,21110
2021-06-01,Holiday,5660
2021-06-01,Employment,2630
2021-06-01,Education,320
2021-06-01,Others,2760
2021-07-01,Convention/conference,70
2021-07-01,Business,1450
2021-07-01,Visiting friends/relatives,11000
2021-07-01,Holiday,2670
2021-07-01,Employment,1520
2021-07-01,Education,490
2021-07-01,Others,1530
2021-08-01,Convention/conference,20
2021-08-01,Business,710
2021-08-01,Visiting friends/relatives,1700
2021-08-01,Holiday,120
2021-08-01,Employment,1800
2021-08-01,Education,140
2021-08-01,Others,1890
2021-09-01,Convention/conference,10
2021-09-01,Business,500
2021-09-01,Visiting friends/relatives,970
2021-09-01,Holiday,40
2021-09-01,Employment,1440
2021-09-01,Education,60
2021-09-01,Others,1410
2021-10-01,Convention/conference,0
2021-10-01,Business,550
2021-10-01,Visiting friends/relatives,900
2021-10-01,Holiday,50
2021-10-01,Employment,1870
2021-10-01,Education,80
2021-10-01,Others,960
2021-11-01,Convention/conference,190
2021-11-01,Business,1350
2021-11-01,Visiting friends/relatives,14020
2021-11-01,Holiday,1250
2021-11-01,Employment,1780
2021-11-01,Education,240
2021-11-01,Others,2030
2021-12-01,Convention/conference,450
2021-12-01,Business,1830
2021-12-01,Visiting friends/relatives,53400
2021-12-01,Holiday,4860
2021-12-01,Employment,2630
